timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1675375602355,2659,Liquipedia Dota2,200,OK,Thread Group 1-10,text,true,,433708,134,4,4,https://liquipedia.net/dota2/Main_Page,950,0,805
1675375603370,1654,Liquipedia Dota2,200,OK,Thread Group 1-8,text,true,,433708,134,4,4,https://liquipedia.net/dota2/Main_Page,643,0,310
1675375605014,986,Liquipedia Valorant,200,OK,Thread Group 1-10,text,true,,524913,137,4,4,https://liquipedia.net/valorant/Main_Page,136,0,0
1675375605024,987,Liquipedia Valorant,200,OK,Thread Group 1-8,text,true,,524913,137,4,4,https://liquipedia.net/valorant/Main_Page,146,0,0
1675375604731,1423,Liquipedia Cs,200,OK,Thread Group 1-6,text,true,,464831,142,4,4,https://liquipedia.net/counterstrike/Main_Page,148,0,0
1675375604807,1863,Liquipedia Valorant,200,OK,Thread Group 1-9,text,true,,524913,137,4,4,https://liquipedia.net/valorant/Main_Page,135,0,0
1675375606000,985,Liquipedia Cs,200,OK,Thread Group 1-10,text,true,,464831,142,4,4,https://liquipedia.net/counterstrike/Main_Page,140,0,0
1675375606011,1071,Liquipedia Cs,200,OK,Thread Group 1-8,text,true,,464831,142,4,4,https://liquipedia.net/counterstrike/Main_Page,143,0,0
1675375606670,1310,Liquipedia Cs,200,OK,Thread Group 1-9,text,true,,464831,142,4,4,https://liquipedia.net/counterstrike/Main_Page,165,0,0
1675375606154,1827,Liquipedia Rl,200,OK,Thread Group 1-6,text,true,,761762,141,4,4,https://liquipedia.net/rocketleague/Main_Page,144,0,0
1675375606986,1562,Liquipedia Rl,200,OK,Thread Group 1-10,text,true,,761762,141,3,3,https://liquipedia.net/rocketleague/Main_Page,134,0,0
1675375607083,1498,Liquipedia Rl,200,OK,Thread Group 1-8,text,true,,761762,141,2,2,https://liquipedia.net/rocketleague/Main_Page,145,0,0
1675375607980,1509,Liquipedia Rl,200,OK,Thread Group 1-9,text,true,,761762,141,1,1,https://liquipedia.net/rocketleague/Main_Page,142,0,0
